Product Name,Price
                                         Product Name   Price
0   Samsung Galaxy M34 5G (Prism Silver,6GB,128GB)...  14,999
1   Samsung Galaxy M34 5G (Waterfall Blue,6GB,128G...  14,999
2   Samsung Galaxy M14 4G (Arctic Blue,4GB,64GB) |...   8,990
3   Samsung Galaxy S21 FE 5G (Olive, 8GB RAM, 256G...  29,679
4   SAMSUNG GALAXY S23 FE 5G (MINT 128 GB STORAGE)...  35,498
5   Samsung Galaxy M14 4G (Sapphire Blue,4GB,64GB)...   8,998
6   Samsung Galaxy M35 5G (Thunder Grey,8GB RAM,12...  21,499
7   Samsung Galaxy S23 Ultra 5G AI Smartphone (Cre...  84,999
8   Samsung Galaxy F15 5G (Groovy Violet, 6GB RAM,...  14,426
9   Samsung Galaxy M35 5G (DayBreak Blue,8GB RAM,1...  21,499
10  Samsung Galaxy M15 5G (Celestial Blue,6GB RAM,...  14,499
11  SAMSUNG GALAXY S23 FE 5G (PURPLE 128 GB STORAG...  35,463
12  Samsung Galaxy S21 FE 5G (Navy, 8GB RAM, 256GB...  29,999
13  Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,12...  19,999
14  Samsung Galaxy M34 5G (Midnight Blue,6GB,128GB...  14,999